dmd	src	0 sec	0.029271649375396995		src	30 sec	0.04525725174677112		src	1 min	0.020326063942409486		src	5 min	0.06341308490366293		src	10 min	0.03917001905568494		src	>10 min	0.6529748041499047		test	0 sec	0.003917001905568495		test	30 sec	0.009263180182087657		test	1 min	0.0020114334109676054		test	5 min	0.008469193309337285		test	10 min	0.004075799280118569		test	>10 min	0.02858352741901334		others	0 sec	0.0011115816218505187		others	30 sec	0.0008469193309337286		others	1 min	0.0007939868727503706		others	5 min	0.00269955536735126		others	10 min	0.0018526360364175313		others	>10 min	0.06754181664196485				
scikit-learn	src	0 sec	0.0025407579928011857		src	30 sec	0.0033347448655515564		src	1 min	0.0023290281600677537		src	5 min	0.010639424094854966		src	10 min	0.006987084480203261		src	>10 min	0.06367774719457972		test	0 sec	0.0001587973745500741		test	30 sec	0.0004234596654668643		test	1 min	0.0003705272072835062		test	5 min	0.0017997035782341732		test	10 min	0.0018526360364175313		test	>10 min	0.010692356553038324		others	0 sec	0.19521490578022443		others	30 sec	0.03848189709930129		others	1 min	0.03451196273554944		others	5 min	0.1192038958289223		others	10 min	0.08066906627143765		others	>10 min	0.6008892652974804				
astropy	src	0 sec	0.0050285835274190135		src	30 sec	0.0019585009527842475		src	1 min	0.0019055684946008892		src	5 min	0.007728138894770273		src	10 min	0.005716705483802668		src	>10 min	0.07209400804573364		test	0 sec	0.0		test	30 sec	0.0		test	1 min	0.0		test	5 min	0.0		test	10 min	0.0		test	>10 min	0.0		others	0 sec	0.28440609781918275		others	30 sec	0.040334533135718824		others	1 min	0.027048486131695956		others	5 min	0.1063413084903663		others	10 min	0.062142705907262334		others	>10 min	0.4832204107558755				
mruby	src	0 sec	0.01429176370950667		src	30 sec	0.011909803091255559		src	1 min	0.01508575058225704		src	5 min	0.044039805208553884		src	10 min	0.020326063942409486		src	>10 min	0.19807325852212576		test	0 sec	0.0015879737455007411		test	30 sec	0.0050285835274190135		test	1 min	0.0036523396146517046		test	5 min	0.008363328392970569		test	10 min	0.0031759474910014822		test	>10 min	0.02265509210247724		others	0 sec	0.0037052720728350625		others	30 sec	0.008575058225704002		others	1 min	0.00809866610205378		others	5 min	0.01963794198602583		others	10 min	0.009580774931187804		others	>10 min	0.08813254287529113				
libgit2	src	0 sec	0.0632013550709295		src	30 sec	0.023343214058860893		src	1 min	0.010004234596654669		src	5 min	0.037634977768367564		src	10 min	0.021172983273343216		src	>10 min	0.24322464535253016		test	0 sec	5.2932458183358036e-05		test	30 sec	0.0		test	1 min	5.2932458183358036e-05		test	5 min	5.2932458183358036e-05		test	10 min	0.0		test	>10 min	0.00026466229091679015		others	0 sec	0.023819606182511117		others	30 sec	0.011433410967605336		others	1 min	0.004499258945585433		others	5 min	0.016091467287740843		others	10 min	0.010321829345754817		others	>10 min	0.08945585432987507				
numpy	src	0 sec	0.0329239889900487		src	30 sec	0.020008469193309338		src	1 min	0.006087232691086174		src	5 min	0.017097183993224647		src	10 min	0.015826804996824054		src	>10 min	0.2533876773237349		test	0 sec	5.2932458183358036e-05		test	30 sec	5.2932458183358036e-05		test	1 min	5.2932458183358036e-05		test	5 min	0.0001587973745500741		test	10 min	0.00010586491636671607		test	>10 min	0.0022231632437010374		others	0 sec	0.0372115181029007		others	30 sec	0.04017573576116875		others	1 min	0.014926953207706966		others	5 min	0.0490683887359729		others	10 min	0.03123015032818124		others	>10 min	0.3946644082151175				
pioneer	src	0 sec	0.053250052932458186		src	30 sec	0.03768791022655092		src	1 min	0.02773660808807961		src	5 min	0.08019267414778743		src	10 min	0.05023290281600677		src	>10 min	0.4076857929282236		test	0 sec	0.0		test	30 sec	0.0		test	1 min	0.0		test	5 min	0.0		test	10 min	0.0		test	>10 min	0.0		others	0 sec	0.02074952360787635		others	30 sec	0.0322887994918484		others	1 min	0.018208765615075163		others	5 min	0.03874655939021808		others	10 min	0.019532077069659114		others	>10 min	0.13487190345119626				
RIOT	src	0 sec	0.004446326487402075		src	30 sec	0.0014821088291340249		src	1 min	0.001535041287317383		src	5 min	0.006669489731103113		src	10 min	0.005187380901969087		src	>10 min	0.04065212788481897		test	0 sec	0.0		test	30 sec	0.0		test	1 min	0.0		test	5 min	0.0		test	10 min	0.0		test	>10 min	0.0		others	0 sec	0.1491107347025196		others	30 sec	0.039117086597501585		others	1 min	0.025248782553461784		others	5 min	0.08972051662079188		others	10 min	0.056955325005293246		others	>10 min	0.46082998094431504				
scipy	src	0 sec	0.002487825534617828		src	30 sec	0.004234596654668642		src	1 min	0.0013762439127673089		src	5 min	0.006298962523819607		src	10 min	0.003969934363751853		src	>10 min	0.07786364598771967		test	0 sec	0.0		test	30 sec	0.0		test	1 min	5.2932458183358036e-05		test	5 min	0.0		test	10 min	0.0		test	>10 min	5.2932458183358036e-05		others	0 sec	0.1001482108829134		others	30 sec	0.04901545627778954		others	1 min	0.028107135295363118		others	5 min	0.08125132331145458		others	10 min	0.051873809019690874		others	>10 min	0.5647893288164302				
chapel	src	0 sec	0.002858352741901334		src	30 sec	0.016567859411391064		src	1 min	0.01318018208765615		src	5 min	0.07399957654033454		src	10 min	0.06050179970357823		src	>10 min	0.27265509210247724		test	0 sec	0.01773237349142494		test	30 sec	0.034935422401016304		test	1 min	0.03827016726656786		test	5 min	0.1811348719034512		test	10 min	0.1372538640694474		test	>10 min	0.6455642600042346		others	0 sec	0.02943044674994707		others	30 sec	0.042981156044886726		others	1 min	0.03424730044463265		others	5 min	0.15165149269532077		others	10 min	0.09697226339191192		others	>10 min	0.497935634130849				
