homebrew-cask	0sec	1.1782843431313736		30sec	2.424472077109852		1min	5.987596129992558		5min	14.11754068716094		10min	15.529113247863247		>10min	15.31612534107913				
katello	0sec	267.2318760376314		30sec	178.1060606060606		1min	193.43421052631578		5min	144.38874514877102		10min	122.26612244897959		>10min	138.05031066620643				
metasploit-framework	0sec	8.16952380952381		30sec	88.65611814345992		1min	110.77931034482759		5min	99.29675913210656		10min	122.66190376129438		>10min	171.58085157898378				
puppet	0sec	3.2898126463700232		30sec	56.77613703484938		1min	137.63859649122807		5min	155.26698882512835		10min	173.95759885659837		>10min	205.6345576493133				
calcentral	0sec	4.095864661654136		30sec	14.338785046728972		1min	14.844875346260388		5min	21.139705882352942		10min	26.56698741672835		>10min	19.40310329861111				
spree	0sec	3.7013698630136984		30sec	15.48849104859335		1min	18.740554156171285		5min	50.752421307506054		10min	75.89894128970164		>10min	255.97244558807762				
gitlabhq	0sec	3.387485826203484		30sec	60.62050520059435		1min	71.55910206944931		5min	87.6795068095737		10min	100.71535365152387		>10min	83.22422864970889				
ggrc-core	0sec	2.818626309662398		30sec	16.69191270860077		1min	18.519871106337273		5min	37.40117474302496		10min	55.29369369369369		>10min	58.56706257242178				
openproject	0sec	3.969666329625885		30sec	56.44165757906216		1min	136.08163265306123		5min	129.03570584062427		10min	153.90238688991806		>10min	198.90445065066254				
fog	0sec	4.08203125		30sec	15.070038910505836		1min	21.86128364389234		5min	37.21262699564586		10min	41.75418275418276		>10min	108.59234653202232				
whitehall	0sec	3.725057121096725		30sec	12.562732919254659		1min	15.113725490196078		5min	17.189254598257502		10min	15.954259576901086		>10min	18.46518292100487				
diaspora	0sec	4.0703557312252965		30sec	62.794501718213056		1min	44.9243937232525		5min	34.61993645750596		10min	23.24968152866242		>10min	29.428210608121237				
otwarchive	0sec	4.2507507507507505		30sec	6.608974358974359		1min	6.149789029535865		5min	10.274870615296146		10min	15.161522633744855		>10min	23.661563169164882				
logstash	0sec	2.095		30sec	2.750909090909091		1min	4.283236994219653		5min	3.9497206703910615		10min	3.5253378378378377		>10min	7.205865328960062				
manageiq	0sec	3.0704443678952806		30sec	29.78386167146974		1min	42.60653409090909		5min	57.46699346405229		10min	75.66240292370945		>10min	84.41173071366657				
loomio	0sec	3.958677685950413		30sec	14.301531213191991		1min	12.29889298892989		5min	17.57029177718833		10min	24.456155143338954		>10min	31.350238663484486				
refinerycms	0sec	4.029411764705882		30sec	46.49063670411985		1min	60.437346437346434		5min	52.87596355991591		10min	47.684149184149184		>10min	62.513688644095254				
smart-answers	0sec	7.625695620614565		30sec	114.3894523326572		1min	28.059139784946236		5min	23.179637214745465		10min	30.735093696763204		>10min	40.95363607494443				
jekyll	0sec	1.6533333333333333		30sec	2.2474129821260584		1min	2.2675496688741723		5min	3.603140613847252		10min	4.788368336025848		>10min	6.905753763662611				
homebrew-science	0sec	2.242608695652174		30sec	1.1510952168082254		1min	1.0419580419580419		5min	1.729431721798134		10min	2.5406091370558377		>10min	5.880116305077164				
vagrant	0sec	2.367063492063492		30sec	2.762677484787018		1min	2.204663212435233		5min	3.3315688161693937		10min	3.895793499043977		>10min	6.922032005954597				
linguist	0sec	1.6614173228346456		30sec	2.4768518518518516		1min	3.7142857142857144		5min	5.294642857142857		10min	5.413988657844991		>10min	12.388763410502541				
active_merchant	0sec	2.703125		30sec	3.9770114942528734		1min	3.91044776119403		5min	5.667519181585678		10min	3.950943396226415		>10min	6.511627906976744				
rSENSE	0sec	1.2469135802469136		30sec	9.194570135746606		1min	7.20327868852459		5min	9.355446355446356		10min	11.006134969325153		>10min	13.404817586529466				
Markus	0sec	2.8813291139240507		30sec	14.640287769784173		1min	15.989795918367347		5min	18.53134510042605		10min	23.425468904244816		>10min	42.930577334283676				
rubinius	0sec	4.780512560263892		30sec	26.815608919382505		1min	77.56556291390729		5min	73.07757404795487		10min	92.39155844155844		>10min	183.53984832357636				
exercism	0sec	2.9923076923076923		30sec	5.3076923076923075		1min	5.0881057268722465		5min	9.491525423728813		10min	7.4884135472370765		>10min	9.90587967183227				
rspec-core	0sec	2.940754039497307		30sec	2.337078651685393		1min	2.894308943089431		5min	2.335227272727273		10min	2.834920634920635		>10min	4.37378640776699				
sensu-community-plugins	0sec	5.615384615384615		30sec	3.4786324786324787		1min	4.472222222222222		5min	8.002272727272727		10min	7.276		>10min	16.72156459083891				
bundler	0sec	2.3410493827160495		30sec	4.873737373737374		1min	13.667820069204152		5min	13.234299516908212		10min	14.40461215932914		>10min	16.571648163962426				
jruby	0sec	117.35583710407239		30sec	324.01713166911406		1min	703.7805232558139		5min	660.7040016938387		10min	542.9943836831214		>10min	536.8180621379673				
rubocop	0sec	5.091476091476092		30sec	4.871212121212121		1min	4.380090497737557		5min	5.961262553802008		10min	3.792387543252595		>10min	5.3367026055705304				
puppetlabs-apache	0sec	2.0		30sec	4.964912280701754		1min	3.537313432835821		5min	4.860294117647059		10min	6.0		>10min	8.535384615384615				
facter	0sec	3.589442815249267		30sec	46.04545454545455		1min	47.973684210526315		5min	40.49237804878049		10min	55.08806818181818		>10min	105.13020418987006				
mongoid	0sec	3.804841149773071		30sec	2.314868804664723		1min	4.082872928176796		5min	3.7904509283819627		10min	4.474226804123711		>10min	7.589329021827001				
chiliproject	0sec	2.7232824427480917		30sec	11.902857142857142		1min	4.934426229508197		5min	14.352727272727273		10min	9.250620347394541		>10min	19.20550667045132				
www	0sec	2.6382978723404253		30sec	12.299242424242424		1min	10.367088607594937		5min	5.224932249322493		10min	10.440366972477063		>10min	11.697591436217662				
