bootstrap	0sec	41.24062095730918		30sec	9.695113056163384		1min	8.301268498942918		5min	11.511124845488258		10min	13.457868020304568		>10min	21.894776766363243				
angular	0sec	5.121212121212121		30sec	7.859649122807017		1min	2.264705882352941		5min	3.212792127921279		10min	2.7347740667976423		>10min	3.243831640058055				
brackets	0sec	2.240740740740741		30sec	5.478011472275335		1min	9.288329519450802		5min	15.648687012065295		10min	22.742957746478872		>10min	23.99667891464104				
cdnjs	0sec	2353.4026717557254		30sec	55.70868275061282		1min	352.3226848528356		5min	447.03062937062936		10min	811.9467881112176		>10min	1076.5125047801148				
wet-boew	0sec	2.7023809523809526		30sec	5.588957055214724		1min	3.347826086956522		5min	6.115094339622641		10min	5.7586912065439675		>10min	6.997546012269939				
ember	0sec	4.709421112372304		30sec	4.952978056426332		1min	8.230392156862745		5min	9.089622641509434		10min	8.822950819672132		>10min	12.635055706640934				
node	0sec	0		30sec	0		1min	0		5min	0		10min	0		>10min	2.0				
DefinitelyTyped	0sec	41.606593406593404		30sec	157.58674332093338		1min	217.68478610485687		5min	265.66521091811416		10min	339.5481196926809		>10min	454.8650352060663				
discourse	0sec	12.098425196850394		30sec	12.884033613445379		1min	16.77007874015748		5min	18.430434782608696		10min	26.199375557537913		>10min	34.48955661414438				
pdf	0sec	1.782258064516129		30sec	5.396551724137931		1min	3.5759493670886076		5min	5.490628445424476		10min	5.412080536912752		>10min	7.756344527044347				
Ghost	0sec	4.81		30sec	14.885931558935361		1min	16.238095238095237		5min	17.25910931174089		10min	16.76439790575916		>10min	24.2852016404648				
melpa	0sec	203.6583850931677		30sec	45.70716510903427		1min	1.7151898734177216		5min	10.001826484018265		10min	7.049645390070922		>10min	23.854679064187163				
ol3	0sec	3.2056798623063685		30sec	6.241881298992161		1min	8.872521246458923		5min	12.207797427652734		10min	13.643827160493828		>10min	15.445248323159243				
xtuple	0sec	8.946428571428571		30sec	115.86837121212122		1min	134.4075907590759		5min	110.91782945736433		10min	99.96377875673029		>10min	110.3750326683509				
moonstone	0sec	3.1313131313131315		30sec	22.127490039840637		1min	11.062222222222223		5min	16.117427772600188		10min	16.6002886002886		>10min	19.593902180817278				
jquery-mobile	0sec	3.6354705274043435		30sec	7.453658536585366		1min	7.0497512437810945		5min	9.449774266365688		10min	11.253252385082394		>10min	17.080409989894616				
pouchdb	0sec	2.6094674556213016		30sec	1.927710843373494		1min	2.3448275862068964		5min	3.0113636363636362		10min	2.760180995475113		>10min	4.017875558611206				
appium	0sec	2.6195426195426195		30sec	14.511494252873563		1min	16.28235294117647		5min	10.853846153846154		10min	7.09872029250457		>10min	9.76201145133184				
jquery	0sec	1.0666666666666667		30sec	1.875		1min	3.5789473684210527		5min	3.4838709677419355		10min	2.8842105263157896		>10min	4.606289308176101				
react	0sec	3.295793758480326		30sec	5.997727272727273		1min	7.50561797752809		5min	7.807465618860511		10min	10.72337278106509		>10min	12.387875038663779				
butter	0sec	2.4719471947194718		30sec	13.188235294117646		1min	27.455555555555556		5min	19.08167330677291		10min	13.578804347826088		>10min	10.656811594202898				
SocialSDK	0sec	128.9626651349799		30sec	170.68707482993196		1min	185.09381663113007		5min	224.595178719867		10min	312.6290322580645		>10min	306.33976715686276				
cesium	0sec	9.829457364341085		30sec	68.93850883935434		1min	71.18612818261633		5min	89.26119698771303		10min	107.92357673267327		>10min	109.14308165804466				
data	0sec	3.3664921465968587		30sec	3.7794871794871794		1min	4.87248322147651		5min	4.98941798941799		10min	4.900900900900901		>10min	6.261765454082931				
backbone	0sec	1.3306451612903225		30sec	3.4444444444444446		1min	2.844155844155844		5min	2.201900237529691		10min	2.466019417475728		>10min	3.1197916666666665				
web-platform-tests	0sec	1615.7080717488789		30sec	1159.2988685134608		1min	2222.992736077482		5min	2948.365675675676		10min	3107.2894369474175		>10min	7541.757809182993				
bluebottle	0sec	2.4523076923076923		30sec	17.36949152542373		1min	46.97117117117117		5min	29.693075117370892		10min	39.960111317254174		>10min	54.99965576592083				
code-dot-org	0sec	2.240740740740741		30sec	5.478011472275335		1min	9.288329519450802		5min	15.648687012065295		10min	22.742957746478872		>10min	23.99667891464104				
jquery-ui	0sec	3.8016759776536313		30sec	6.868421052631579		1min	3.0606060606060606		5min	6.660160734787601		10min	5.473515248796148		>10min	10.41172839506173				
Pokemon-Showdown	0sec	1.667785234899329		30sec	2.7097457627118646		1min	1.9195121951219511		5min	2.190231362467866		10min	2.5283018867924527		>10min	2.9148836774736053				
khan-exercises	0sec	2.2962962962962963		30sec	21.058333333333334		1min	16.723849372384937		5min	9.965034965034965		10min	13.01774193548387		>10min	18.093729517150972				
mwEmbed	0sec	5.382352941176471		30sec	7.8152804642166345		1min	10.699038461538462		5min	14.367301587301588		10min	27.336374695863746		>10min	42.82402307894046				
backbone	0sec	1.3306451612903225		30sec	3.4444444444444446		1min	2.844155844155844		5min	2.201900237529691		10min	2.466019417475728		>10min	3.1197916666666665				
mozillians	0sec	5.512820512820513		30sec	6.277310924369748		1min	10.702380952380953		5min	6.457534246575342		10min	7.7947019867549665		>10min	10.530566993981628				
Leaflet	0sec	2.0785714285714287		30sec	13.060126582278482		1min	17.8206106870229		5min	18.211111111111112		10min	17.103313840155945		>10min	39.21325244983668				
yui3	0sec	5.265133171912833		30sec	48.259291521486645		1min	50.92688172043011		5min	54.994698605929706		10min	62.19588080631026		>10min	95.89421587192288				
etherpad-lite	0sec	2.4645669291338583		30sec	5.172413793103448		1min	3.1457286432160805		5min	6.369826435246996		10min	6.13151364764268		>10min	8.924631173829377				
