rails	
homebrew-cask	src	0 sec	0.8749735337709084		src	30 sec	0.7019373279695109		src	1 min	0.1976497988566589		src	5 min	0.38466017361846283		src	10 min	0.16631378361211094		src	>10 min	1.034882489942833		test	0 sec	0.00269955536735126		test	30 sec	0.004393394029218717		test	1 min	0.004128731738301927		test	5 min	0.019479144611475756		test	10 min	0.012703789964005929		test	>10 min	0.06838873597289859		others	0 sec	0.004710988778318865		others	30 sec	0.013074317171289434		others	1 min	0.01159220834215541		others	5 min	0.034935422401016304		others	10 min	0.01916154986237561		others	>10 min	0.09946008892652974				
katello	src	0 sec	0.050709294939657		src	30 sec	0.010110099513021385		src	1 min	0.0072517467711200505		src	5 min	0.03340038111369892		src	10 min	0.02694262121532924		src	>10 min	0.22284564895193734		test	0 sec	0.026201566800762226		test	30 sec	0.010057167054838027		test	1 min	0.007886936269320348		test	5 min	0.029324581833580353		test	10 min	0.025672242218928647		test	>10 min	0.2868409908956172		others	0 sec	0.018738090196908745		others	30 sec	0.007781071352953631		others	1 min	0.008998517891170866		others	5 min	0.01910861740419225		others	10 min	0.012227397840355706		others	>10 min	0.10369468558119839				
metasploit-framework	src	0 sec	0.05145034935422401		src	30 sec	0.060448867245394874		src	1 min	0.06928858776201567		src	5 min	0.31399534194367984		src	10 min	0.20500741054414567		src	>10 min	1.2448126190980309		test	0 sec	0.0003705272072835062		test	30 sec	0.005716705483802668		test	1 min	0.010004234596654669		test	5 min	0.031441880160914676		test	10 min	0.022602159644293882		test	>10 min	0.18536946855811984		others	0 sec	0.0037582045310184204		others	30 sec	0.009104382807537581		others	1 min	0.012809654880372645		others	5 min	0.040016938386618676		others	10 min	0.02429599830616134		others	>10 min	0.1001482108829134				
puppet	src	0 sec	0.16393182299385983		src	30 sec	0.06838873597289859		src	1 min	0.028477662502646623		src	5 min	0.11369892017785306		src	10 min	0.07055896675841626		src	>10 min	0.49703578234173196		test	0 sec	0.007040016938386619		test	30 sec	0.008416260851153927		test	1 min	0.008151598560237137		test	5 min	0.03202413720093161		test	10 min	0.023607876349777682		test	>10 min	0.2271861105229727		others	0 sec	0.009845437222104594		others	30 sec	0.012809654880372645		others	1 min	0.00862799068388736		others	5 min	0.029536311666313785		others	10 min	0.01693838661867457		others	>10 min	0.1044357399957654				
calcentral	src	0 sec	0.024401863222528054		src	30 sec	0.013550709294939657		src	1 min	0.010692356553038324		src	5 min	0.059443150539911074		src	10 min	0.04652763074317171		src	>10 min	0.30187380901969085		test	0 sec	0.0005293245818335803		test	30 sec	0.0011115816218505187		test	1 min	0.0011115816218505187		test	5 min	0.0076752064365869154		test	10 min	0.006669489731103113		test	>10 min	0.04044039805208554		others	0 sec	0.00322887994918484		others	30 sec	0.007992801185687064		others	1 min	0.007304679229303409		others	5 min	0.03366504340461571		others	10 min	0.01831463053144188		others	>10 min	0.14551132754605123				
spree	src	0 sec	0.1670019055684946		src	30 sec	0.026519161549862377		src	1 min	0.013021384713106076		src	5 min	0.0566377302561931		src	10 min	0.03509421977556638		src	>10 min	0.30669066271437645		test	0 sec	0.002487825534617828		test	30 sec	0.0008469193309337286		test	1 min	0.0004234596654668643		test	5 min	0.002487825534617828		test	10 min	0.002487825534617828		test	>10 min	0.0615604488672454		others	0 sec	0.062354435739995766		others	30 sec	0.01402710141858988		others	1 min	0.007569341520220199		others	5 min	0.02831886512809655		others	10 min	0.017414778742324794		others	>10 min	0.12544992589455856				
gitlabhq	src	0 sec	0.3083845013762439		src	30 sec	0.10549438915943256		src	1 min	0.09628414143552827		src	5 min	0.44622062248570826		src	10 min	0.3308278636459877		src	>10 min	1.2137412661443998		test	0 sec	0.0004234596654668643		test	30 sec	0.004922718611052297		test	1 min	0.004446326487402075		test	5 min	0.024613593055261486		test	10 min	0.01995553673512598		test	>10 min	0.06505399110734703		others	0 sec	0.20468981579504553		others	30 sec	0.06770061401651492		others	1 min	0.050179970357823414		others	5 min	0.18600465805632013		others	10 min	0.10946432352318441		others	>10 min	0.42134236713952994				
ggrc-core	src	0 sec	0.1804996824052509		src	30 sec	0.060184204954478085		src	1 min	0.03678805843743384		src	5 min	0.12730256193097608		src	10 min	0.08358035147152233		src	>10 min	0.49825322887994916		test	0 sec	0.0408638577175524		test	30 sec	0.01619733220410756		test	1 min	0.007304679229303409		test	5 min	0.036152868939233536		test	10 min	0.027895405462629686		test	>10 min	0.1918801609146729		others	0 sec	0.005981367774719458		others	30 sec	0.006087232691086174		others	1 min	0.005187380901969087		others	5 min	0.016779589244124496		others	10 min	0.006034300232902816		others	>10 min	0.04075799280118569				
openproject	src	0 sec	0.15165149269532077		src	30 sec	0.04245183146305315		src	1 min	0.02588397205166208		src	5 min	0.08442727080245607		src	10 min	0.060713529536311664		src	>10 min	0.33643870421342364		test	0 sec	0.030489095913614227		test	30 sec	0.016726656785941138		test	1 min	0.012597925047639213		test	5 min	0.05028583527419014		test	10 min	0.03827016726656786		test	>10 min	0.3010798221469405		others	0 sec	0.13196061825111158		others	30 sec	0.037899640059284354		others	1 min	0.03154774507728139		others	5 min	0.08913825958077493		others	10 min	0.04959771331780648		others	>10 min	0.2532818124073682				
fog	src	0 sec	0.06605970781283083		src	30 sec	0.023607876349777682		src	1 min	0.021861105229726868		src	5 min	0.06124285411814525		src	10 min	0.03578234173195003		src	>10 min	0.347872115181029		test	0 sec	0.00010586491636671607		test	30 sec	0.00010586491636671607		test	1 min	5.2932458183358036e-05		test	5 min	0.00021172983273343214		test	10 min	5.2932458183358036e-05		test	>10 min	0.002805420283717976		others	0 sec	0.0015879737455007411		others	30 sec	0.0034935422401016305		others	1 min	0.0036523396146517046		others	5 min	0.011486343425788694		others	10 min	0.005293245818335804		others	>10 min	0.04769214482320559				
