Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
875,2438,BubbleWrap,rubymotion,Ruby,227,120,119
882,4587149,Gandalf,ZeusWPI,Ruby,226,106,101
887,28824,cloud_controller_ng,cloudfoundry,Ruby,215,215,211
890,868,pivotal_workstation,pivotal,Ruby,223,193,163
902,13909,lims-api,sanger,Ruby,219,177,165
903,11124,acts-as-taggable-on,mbleigh,Ruby,210,182,143
906,1449648,mortar,mortardata,Ruby,216,184,183
908,21695,awestruct,awestruct,Ruby,214,166,159
912,777221,support,alphagov,Ruby,211,132,88
920,2244,factory_girl,thoughtbot,Ruby,207,183,84
921,483343,govuk_content_api,alphagov,Ruby,205,97,57
922,14915,travis-ci,travis-ci,Ruby,209,201,47
925,2610282,rubber,rubber,Ruby,205,98,98
927,5245,twitter,sferik,Ruby,201,126,87
