Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
892,76826,bcfg2,Bcfg2,Python,199,163,155
893,4813290,regulations-parser,cfpb,Python,218,203,203
894,1611658,MakeAPI,mozilla,Python,218,199,199
895,17000,django-filer,stefanfoulis,Python,203,142,116
898,5320197,BinPy,BinPy,Python,220,213,200
901,42626,spyne,arskom,Python,206,117,113
907,1448496,cookcountyjail,sc3,Python,212,73,73
910,5167,fabric,fabric,Python,202,166,123
917,37492,feincms,feincms,Python,211,46,46
923,25919,trelby,oskusalerma,Python,209,0,0
926,41885,django-userena,bread-and-pepper,Python,199,0,0
