Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
466,3656,bootstrap-datepicker,eternicode,JavaScript,411,264,254
479,6437914,ionic,driftyco,JavaScript,365,362,231
482,6785,tinymce,tinymce,JavaScript,418,78,0
486,3289197,thimble.webmaker.org,mozilla,JavaScript,419,403,399
494,7106,wdntemplates,unl,JavaScript,422,97,93
502,3051792,habitrpg-shared,HabitRPG,JavaScript,319,297,279
503,21752,jsdom,tmpvar,JavaScript,380,166,165
505,738430,angular-strap,mgcrea,JavaScript,336,336,328
512,3714,connect,senchalabs,JavaScript,409,193,192
513,3130647,talkilla,mozilla,JavaScript,411,409,401
519,6242667,digiroad2,finnishtransportagency,JavaScript,341,340,124
525,6420548,fxa-auth-server,mozilla,JavaScript,382,382,379
532,18883,bem-bl,bem,JavaScript,359,197,194
538,64383,tiddlyspace,TiddlySpace,JavaScript,387,6,6
542,4604,waterbear,waterbearlang,JavaScript,306,0,0
544,3086437,karma,karma-runner,JavaScript,369,222,218
554,9384999,gatewayd,ripple,JavaScript,268,266,250
560,7363221,core,opencrowbar,JavaScript,258,112,112
567,1617577,programmes-plant,unikent,JavaScript,341,288,281
568,176,chaplin,chaplinjs,JavaScript,371,253,249
574,5424298,loopback,strongloop,JavaScript,299,245,240
577,14279,highlight.js,isagalaev,JavaScript,316,43,43
578,6299035,analytics.js-integrations,segmentio,JavaScript,307,307,302
588,832648,FieldDB,OpenSourceFieldlinguistics,JavaScript,326,125,118
589,1871853,ckanext-canada,open-data,JavaScript,344,88,85
596,11000,gaia-email-libs-and-more,mozilla-b2g,JavaScript,336,118,117
597,42446,ql.io,ql-io,JavaScript,359,282,27
600,4687991,husky,massiveart,JavaScript,312,309,302
605,10038221,runtime,tessel,JavaScript,316,215,23
615,822535,jbosstools-website,jbosstools,JavaScript,271,264,261
620,1028984,grunt,gruntjs,JavaScript,334,183,171
625,911555,YiiBooster,clevertech,JavaScript,338,32,28
627,45347,mootools-more,mootools,JavaScript,337,41,40
629,89852,Vellum,dimagi,JavaScript,265,189,183
632,3818,node-browserify,substack,JavaScript,313,272,224
634,1539283,generator-angular,yeoman,JavaScript,310,300,292
640,39021,core-geonetwork,geonetwork,JavaScript,296,63,61
644,334,reveal.js,hakimel,JavaScript,318,218,212
648,33584,metacpan-web,CPAN-API,JavaScript,320,244,233
655,23830,mootools-core,mootools,JavaScript,315,73,72
659,4252,dygraphs,danvk,JavaScript,293,19,19
675,2496321,generator,yeoman,JavaScript,296,228,227
676,1960528,Parsley.js,guillaumepotier,JavaScript,273,273,266
