8695 angular.txt
0 sec 1144	30 sec 608	60 sec 134	5 min 812	10 min 507	> 10 min 5490	
30302 joomla-cms.txt
0 sec 139	30 sec 1162	60 sec 1389	5 min 4935	10 min 2925	> 10 min 19752	
17277 katello.txt
0 sec 1802	30 sec 690	60 sec 456	5 min 1546	10 min 1225	> 10 min 11558	
21391 spark.txt
0 sec 371	30 sec 392	60 sec 410	5 min 2826	10 min 1708	> 10 min 15684	
18670 dmd.txt
0 sec 640	30 sec 1392	60 sec 435	5 min 1394	10 min 831	> 10 min 13978	
28148 scala.txt
0 sec 926	30 sec 2217	60 sec 1085	5 min 2931	10 min 1596	> 10 min 19393	
17618 brackets.txt
0 sec 161	30 sec 570	60 sec 397	5 min 2472	10 min 1955	> 10 min 12063	
23756 ppsspp.txt
0 sec 1747	30 sec 2192	60 sec 1067	5 min 3422	10 min 2125	> 10 min 13203	
44952 metasploit-framework.txt
0 sec 1028	30 sec 1617	60 sec 1726	5 min 7210	10 min 4720	> 10 min 28651	
34196 cakephp.txt
0 sec 2123	30 sec 1324	60 sec 932	5 min 4277	10 min 2900	> 10 min 22640	
50190 cdnjs.txt
0 sec 519	30 sec 7705	60 sec 5301	5 min 7080	10 min 4156	> 10 min 25429	
82707 ceph.txt
0 sec 19660	30 sec 8594	60 sec 3314	5 min 9207	10 min 5660	> 10 min 36272	
20119 framework.txt
0 sec 108	30 sec 2781	60 sec 1385	5 min 3664	10 min 1783	> 10 min 10398	
16012 bitcoin.txt
0 sec 1607	30 sec 716	60 sec 340	5 min 1449	10 min 977	> 10 min 10923	
22997 ipython.txt
0 sec 3841	30 sec 1264	60 sec 612	5 min 2580	10 min 1834	> 10 min 12866	
27025 puppet.txt
0 sec 3395	30 sec 2324	60 sec 849	5 min 3223	10 min 2038	> 10 min 15196	
4764 wet-boew.txt
0 sec 84	30 sec 267	60 sec 160	5 min 528	10 min 488	> 10 min 3237	
15960 ember.txt
0 sec 876	30 sec 731	60 sec 403	5 min 1476	10 min 1203	> 10 min 11271	
45813 openmicroscopy.txt
0 sec 6494	30 sec 6992	60 sec 2203	5 min 5230	10 min 2929	> 10 min 21965	
13757 calcentral.txt
0 sec 517	30 sec 487	60 sec 360	5 min 1897	10 min 1346	> 10 min 9150	
30947 sympy.txt
0 sec 5111	30 sec 3155	60 sec 656	5 min 2704	10 min 1649	> 10 min 17672	
18160 spree.txt
0 sec 4377	30 sec 1448	60 sec 392	5 min 1645	10 min 1030	> 10 min 9268	
31305 phpbb.txt
0 sec 1989	30 sec 4048	60 sec 1296	5 min 4459	10 min 2574	> 10 min 16939	
30059 elasticsearch.txt
0 sec 1241	30 sec 1010	60 sec 689	5 min 3323	10 min 2665	> 10 min 21131	
1 node.txt
0 sec 0	30 sec 0	60 sec 0	5 min 0	10 min 0	> 10 min 1	
16467 pandas.txt
0 sec 713	30 sec 580	60 sec 360	5 min 1876	10 min 1191	> 10 min 11747	
68004 gitlabhq.txt
0 sec 9335	30 sec 4472	60 sec 2774	5 min 11897	10 min 8359	> 10 min 31167	
40710 DefinitelyTyped.txt
0 sec 438	30 sec 3031	60 sec 2996	5 min 9771	10 min 4781	> 10 min 19693	
14166 kuma.txt
0 sec 870	30 sec 691	60 sec 316	5 min 1202	10 min 959	> 10 min 10128	
26340 discourse.txt
0 sec 1260	30 sec 729	60 sec 628	5 min 2717	10 min 2215	> 10 min 18791	
25542 zamboni.txt
0 sec 1224	30 sec 1230	60 sec 646	5 min 3106	10 min 2470	> 10 min 16866	
19526 silverstripe-framework.txt
0 sec 2492	30 sec 2218	60 sec 891	5 min 2084	10 min 1132	> 10 min 10709	
10533 pdf.txt
0 sec 730	30 sec 262	60 sec 157	5 min 901	10 min 741	> 10 min 7742	
11071 bedrock.txt
0 sec 287	30 sec 335	60 sec 180	5 min 1079	10 min 959	> 10 min 8231	
10816 socorro.txt
0 sec 477	30 sec 324	60 sec 288	5 min 1120	10 min 723	> 10 min 7884	
7075 processmaker.txt
0 sec 20	30 sec 254	60 sec 214	5 min 1284	10 min 727	> 10 min 4576	
26111 ggrc-core.txt
0 sec 4113	30 sec 2027	60 sec 918	5 min 3345	10 min 2187	> 10 min 13521	
6510 kitsune.txt
0 sec 504	30 sec 361	60 sec 109	5 min 398	10 min 296	> 10 min 4842	
64283 dolibarr.txt
0 sec 787	30 sec 3608	60 sec 3254	5 min 11171	10 min 7923	> 10 min 37540	
44572 PrestaShop.txt
0 sec 11185	30 sec 3455	60 sec 1575	5 min 6581	10 min 4491	> 10 min 17285	
31512 TrinityCore.txt
0 sec 226	30 sec 1090	60 sec 1024	5 min 4338	10 min 2686	> 10 min 22148	
7938 Ghost.txt
0 sec 295	30 sec 313	60 sec 189	5 min 740	10 min 572	> 10 min 5829	
33550 openproject.txt
0 sec 5840	30 sec 2762	60 sec 1299	5 min 4198	10 min 2793	> 10 min 16658	
22550 scikit-learn.txt
0 sec 3739	30 sec 1225	60 sec 703	5 min 2486	10 min 1690	> 10 min 12707	
21370 astropy.txt
0 sec 5417	30 sec 1564	60 sec 545	5 min 2145	10 min 1278	> 10 min 10421	
12228 fog.txt
0 sec 1280	30 sec 797	60 sec 482	5 min 1376	10 min 777	> 10 min 7516	
25598 woocommerce.txt
0 sec 1039	30 sec 1910	60 sec 1079	5 min 4298	10 min 2651	> 10 min 14621	
24285 matplotlib.txt
