commcare-hq	29491208		0sec	179687	0.0060929006366914505		30sec	2687318	0.09112268307218883		1min	2139557	0.07254897798693088		5min	7471893	0.25336001834851934		10min	4289088	0.14543615846458374		>10min	12684413	0.4301082885448436				
ipython	814436		0sec	10789	0.01324720420020726		30sec	7414	0.009103232175394996		1min	8388	0.010299151805666743		5min	47298	0.05807454483839123		10min	52740	0.06475646950773296		>10min	685353	0.8415062693692322				
sympy	987260		0sec	12350	0.012509369365719263		30sec	12574	0.01273625995178575		1min	7235	0.007328363349067115		5min	59257	0.06002167615420457		10min	50517	0.05116889168000324		>10min	841393	0.8522506735814274				
pandas	110343		0sec	2365	0.0214331674868365		30sec	1630	0.014772119663231923		1min	1422	0.012887088442402328		5min	10244	0.09283778762585755		10min	6528	0.059160979853728826		>10min	87374	0.7918399898498318				
kuma	1037511		0sec	5666	0.005461146917960388		30sec	27574	0.026577067616632498		1min	7987	0.00769823163320678		5min	57812	0.05572181885300493		10min	51921	0.0500438067644584		>10min	885736	0.8537123943746139				
zamboni	279145		0sec	4239	0.0151856562001827		30sec	11122	0.03984309229970087		1min	7509	0.026899998208816205		5min	35807	0.12827383617833027		10min	24273	0.0869548084328933		>10min	195178	0.6991993408443641				
bedrock	281808		0sec	1786	0.00633764832793959		30sec	4080	0.014477942428887754		1min	3389	0.01202591835575995		5min	27518	0.09764804405836598		10min	16515	0.058603730199284616		>10min	226211	0.8027131947992959				
socorro	1204810		0sec	1797	0.0014915214847154323		30sec	14532	0.012061652874727135		1min	15834	0.013142321195873208		5min	96186	0.07983499472945942		10min	71184	0.05908317494044704		>10min	1005052	0.8341995833367917				
kitsune	92311		0sec	2897	0.031383042107657806		30sec	1329	0.014396984108069461		1min	534	0.005784792711594502		5min	4444	0.048141608259037384		10min	4059	0.043970924375209886		>10min	78441	0.8497470507306821				
matplotlib	3819336		0sec	5070	0.0013274558719107196		30sec	120033	0.03142771413669811		1min	188520	0.049359365083354804		5min	603516	0.15801594832190727		10min	297080	0.07778315393042141		>10min	2599643	0.6806531292350293				
addon-sdk	89600		0sec	143	0.001595982142857143		30sec	2361	0.026350446428571428		1min	2341	0.026127232142857143		5min	7838	0.08747767857142857		10min	6299	0.07030133928571429		>10min	70606	0.7880133928571429				
django-cms	664386		0sec	2261	0.0034031421492927306		30sec	26113	0.0393039588432026		1min	19633	0.029550592577206623		5min	88101	0.1326051421914369		10min	43732	0.06582318110255184		>10min	484255	0.7288759847438085				
Theano	347220		0sec	5853	0.016856747883186453		30sec	7814	0.022504464028569784		1min	5252	0.015125856805483555		5min	29823	0.08589078970105408		10min	26567	0.076513449686078		>10min	269711	0.7767726513449686				
onepercentclub-site	359465		0sec	1535	0.004270234932469086		30sec	4339	0.012070716203246491		1min	4749	0.013211300126576996		5min	72001	0.2003004464968773		10min	42572	0.11843155800982015		>10min	232863	0.6478043759475888				
virt-test	59775		0sec	6109	0.10219991635299037		30sec	1384	0.02315349226265161		1min	350	0.005855290673358427		5min	2187	0.036587202007528234		10min	2747	0.045955667084901716		>10min	45273	0.7573902132998745				
configuration	92289		0sec	1692	0.0183337125767968		30sec	3641	0.03945215572820163		1min	2401	0.026016101593906098		5min	8241	0.08929558235542698		10min	6729	0.07291226473360855		>10min	69429	0.7522998407177454				
buildbot	760207		0sec	5419	0.007128321628188112		30sec	20933	0.02753592113726919		1min	17952	0.02361462075461026		5min	88318	0.11617625199452254		10min	48781	0.06416804896561068		>10min	577520	0.7596878218695697				
deis	158515		0sec	2415	0.015235151247516008		30sec	4277	0.026981673658644293		1min	3189	0.02011796990821058		5min	16921	0.10674699555247137		10min	10374	0.06544491057628615		>10min	121098	0.7639529382077406				
django-rest-framework	64847		0sec	217	0.0033463383040078956		30sec	1879	0.028975897111662836		1min	953	0.014696130892716703		5min	6736	0.10387527564883495		10min	4383	0.06758986537542215		>10min	50667	0.7813314417012353				
ka-lite	3160583		0sec	86638	0.027412031261321093		30sec	90643	0.028679202539531472		1min	65039	0.020578165484026207		5min	418120	0.13229204865051797		10min	291942	0.09236966724177154		>10min	2198410	0.6955710386343279				
cryptography	44546		0sec	690	0.01548960624971939		30sec	893	0.020046693305796257		1min	1059	0.023773178287612804		5min	4344	0.09751717325910295		10min	2514	0.05643604364028196		>10min	34962	0.7848516140618687				
kivy	150656		0sec	593	0.003936119371282923		30sec	3877	0.02573412276975361		1min	3057	0.02029125955819881		5min	10493	0.06964873619371283		10min	5450	0.036175127442650806		>10min	127133	0.8438628398470688				
robottelo	43071		0sec	668	0.015509275382507952		30sec	478	0.011097954540177845		1min	485	0.011260476887000534		5min	4128	0.09584174966915093		10min	3670	0.08520814469132362		>10min	33605	0.7802233521394906				
ralph	15224		0sec	21	0.0013794009458749344		30sec	407	0.026734104046242775		1min	364	0.023909616395165527		5min	1998	0.13124014713610088		10min	1232	0.08092485549132948		>10min	11202	0.7358118759852864				
zds-site	299314		0sec	4360	0.014566642388929352		30sec	5447	0.01819828006708674		1min	4808	0.01606339830412209		5min	27709	0.09257502154927601		10min	20018	0.06687959801412563		>10min	236511	0.7901768711119427				
mne-python	112077		0sec	8123	0.07247695780579423		30sec	1160	0.010350027213433621		1min	1369	0.012214816599302266		5min	6639	0.059236060922401565		10min	4724	0.042149593582983126		>10min	88997	0.7940701482016828				
iris	195283		0sec	2526	0.012935073713533692		30sec	3503	0.01793806936599704		1min	3357	0.01719043644352043		5min	20116	0.10300947855164044		10min	14349	0.0734779781138143		>10min	150699	0.7716954368787862				
ome-documentation	54961		0sec	1731	0.031495060133549246		30sec	1331	0.02421717217663434		1min	1042	0.018958898127763323		5min	4352	0.07918342097123415		10min	4155	0.07559906115245356		>10min	41848	0.7614126380524372				
OTM2	32377		0sec	1873	0.057849708126138925		30sec	1541	0.04759551533496		1min	1327	0.040985885041850696		5min	2771	0.08558544645890602		10min	1840	0.05683046607159403		>10min	22559	0.6967600457114619				
pylearn2	79421		0sec	633	0.007970184208206898		30sec	3097	0.03899472431724607		1min	1428	0.01798013119955679		5min	6653	0.08376877652006397		10min	6177	0.07777539945354503		>10min	60911	0.7669382153334761				
eden	150542		0sec	124	0.0008236903986927237		30sec	2992	0.019874852200714752		1min	2429	0.01613503208406956		5min	8202	0.054483134274820315		10min	8661	0.05753211728288451		>10min	128100	0.8509253231656282				
pyramid	81711		0sec	316	0.0038672883699869052		30sec	3129	0.0382934978154716		1min	1528	0.018700052624493643		5min	8386	0.1026300008566778		10min	6337	0.07755381772343993		>10min	61987	0.7586126714885388				
otter	95691		0sec	535	0.005590912416005685		30sec	3452	0.036074447962713314		1min	2348	0.0245373128089371		5min	12724	0.13296966276870342		10min	9747	0.10185910900711666		>10min	66641	0.696418680962682				
scikit-image	95891		0sec	3141	0.03275594164207277		30sec	797	0.008311520372089144		1min	826	0.008613947085753616		5min	4689	0.048899271047335		10min	3618	0.037730339656484965		>10min	82485	0.8601954302280714				
vumi-go	251575		0sec	812	0.003227665706051873		30sec	9247	0.03675643446288383		1min	8023	0.03189108615720958		5min	41879	0.16646725628540196		10min	29553	0.1174719268607771		>10min	162004	0.6439590579350094				
ninja-ide	14027		0sec	173	0.012333357097027162		30sec	470	0.033506808298281884		1min	865	0.06166678548513581		5min	1784	0.12718328937049975		10min	768	0.05475155058102232		>10min	9964	0.7103443359235759				
youtube-dl	57239		0sec	798	0.013941543353308059		30sec	1814	0.03169167875050228		1min	1722	0.030084383025559495		5min	6584	0.11502646796764444		10min	4170	0.07285242579360227		>10min	42086	0.7352679117384999				
pip	42842		0sec	867	0.02023715045982914		30sec	958	0.022361234302786984		1min	616	0.014378413706176183		5min	3370	0.0786611269315158		10min	1924	0.04490920125110873		>10min	35018	0.817375472667009				
