dmd	393387		0sec	1452	0.0036910218182095492		30sec	5730	0.014565809241281487		1min	4059	0.010318083719085786		5min	22049	0.05604913227940934		10min	19377	0.049256838685569175		>10min	339601	0.8632745871114196				
scikit-learn	358907		0sec	6964	0.01940335518671968		30sec	8851	0.02466098460046753		1min	6295	0.017539362564675528		5min	37167	0.10355607441482055		10min	28749	0.08010153048004079		>10min	269884	0.7519608143613805				
astropy	893609		0sec	11536	0.012909449211008395		30sec	11044	0.012358872840358592		1min	8489	0.00949968050903695		5min	57913	0.06480798649073588		10min	56251	0.06294811265329692		>10min	745854	0.834653634867151				
mruby	140824		0sec	621	0.004409759700051127		30sec	1672	0.011872976197239107		1min	1962	0.013932284269726751		5min	5757	0.0408808157700392		10min	4576	0.03249446117139124		>10min	126133	0.8956782934727036				
libgit2	145323		0sec	4949	0.03405517364766761		30sec	6450	0.044383889680229556		1min	2325	0.01599884395450135		5min	9249	0.06364443343448732		10min	6422	0.04419121543045492		>10min	114549	0.7882372370512583				
numpy	194674		0sec	6097	0.031319025653143207		30sec	2976	0.015287095349147807		1min	3695	0.01898044936663345		5min	9725	0.04995530990270915		10min	9635	0.04949299855142443		>10min	161919	0.8317443520963251				
pioneer	627177		0sec	4404	0.007021941174500978		30sec	12172	0.019407599449597163		1min	10701	0.01706216905275544		5min	56795	0.09055657334372912		10min	42517	0.06779107014447278		>10min	499732	0.7967958008664221				
RIOT	748420		0sec	36699	0.04903530103417867		30sec	11954	0.01597231501028834		1min	12597	0.01683145827209321		5min	93292	0.1246519334063761		10min	64885	0.08669597284946955		>10min	527400	0.7046845354212875				
scipy	331531		0sec	4005	0.01208031828094507		30sec	8255	0.0248996323119105		1min	4294	0.01295203163505072		5min	17324	0.05225454029939885		10min	13437	0.04053014650213706		>10min	283287	0.854481179738848				
chapel	2733651		0sec	5735	0.0020979269116650225		30sec	97976	0.03584071265863858		1min	87916	0.03216065254855137		5min	471161	0.172355944485964		10min	376497	0.13772679833672988		>10min	1668869	0.6104908783162152				
cphalcon	1536963		0sec	2472	0.0016083666295154796		30sec	114222	0.0743166881701121		1min	54647	0.035555182525539		5min	135124	0.08791623480851524		10min	72740	0.04732709896074271		>10min	1157280	0.7529654259731692				
suricata	31039		0sec	12734	0.4102580624375785		30sec	1585	0.05106478945842327		1min	617	0.019878217726086535		5min	1966	0.06333966944811366		10min	955	0.03076774380617932		>10min	11921	0.38406520828634944				
neovim	78718		0sec	8932	0.11346832998805864		30sec	1428	0.018140704794329124		1min	1554	0.019741355217358165		5min	5381	0.06835793592316879		10min	5450	0.06923448258339897		>10min	54525	0.6926624152036382				
fontforge	159384		0sec	21715	0.13624328665361643		30sec	2759	0.017310395020830198		1min	4120	0.0258495206545199		5min	14423	0.09049214475731567		10min	7651	0.048003563720323245		>10min	104581	0.6561574562063947				
php-src	143586604		0sec	15163883	0.10560792286723349		30sec	19635756	0.13675200508259114		1min	11352642	0.07906477125122341		5min	23786460	0.16565932571258526		10min	9036653	0.06293520947121223		>10min	63847710	0.4446634172084744				
mongo-php-driver	44190		0sec	4595	0.10398280153880969		30sec	10964	0.24811043222448517		1min	3291	0.07447386286490155		5min	8043	0.18200950441276306		10min	451	0.010205928943199818		>10min	16049	0.3631817153202082				
rr	17434		0sec	3256	0.18676150051623264		30sec	308	0.017666628427211197		1min	305	0.017494550877595504		5min	1348	0.0773201789606516		10min	628	0.036021567052885166		>10min	11448	0.6566479293334863				
mbed	3725725		0sec	290787	0.07804843352636064		30sec	100866	0.027072851592643044		1min	49867	0.013384509055284542		5min	189131	0.050763542666192485		10min	224465	0.06024733441142328		>10min	2856170	0.7666078414268364				
libuv	0		0sec	0		30sec	0		1min	0		5min	0		10min	0		>10min	0				
contiki	1032641		0sec	2900	0.0028083331961446427		30sec	9598	0.009294614488481475		1min	7124	0.0068988157549429085		5min	50770	0.04916519874767707		10min	34157	0.03307732309679744		>10min	926777	0.8974822808701185				
paparazzi	377362		0sec	3222	0.00853822059454847		30sec	10263	0.027196697070717243		1min	7745	0.020524059126250126		5min	38703	0.10256199617343559		10min	19421	0.05146517137390622		>10min	297346	0.7879595719759807				
seqan	945067		0sec	29173	0.030868710895629623		30sec	87363	0.09244106502501939		1min	23853	0.02523948037546544		5min	108351	0.11464901430268964		10min	58820	0.06223897353309342		>10min	634989	0.6718983945053632				
pacemaker	423774		0sec	46840	0.11053061301542803		30sec	9190	0.021686087395640128		1min	5970	0.01408769768791856		5min	29906	0.07057063434755317		10min	21153	0.04991575698367526		>10min	309850	0.7311680282414683				
ardupilot	95841		0sec	28908	0.301624565686919		30sec	9744	0.101668388268069		1min	2480	0.025876190774303275		5min	6316	0.06590081489133043		10min	3452	0.0360179881261673		>10min	40938	0.4271449588380756				
micropython	38831		0sec	2299	0.0592052741366434		30sec	1764	0.045427622260565015		1min	1308	0.03368442739048698		5min	4334	0.11161185650639953		10min	2258	0.05814941670314955		>10min	26586	0.6846591640699441				
elliptics	40837		0sec	882	0.021598060582315056		30sec	1804	0.04417562504591425		1min	1467	0.035923304846095454		5min	4102	0.1004481230256875		10min	2155	0.05277077160418248		>10min	30296	0.7418762396845997				
OpenRCT2	95166		0sec	3835	0.040298005590231806		30sec	2076	0.021814513586785197		1min	2100	0.022066704495302944		5min	8788	0.09234390433558204		10min	6998	0.07353466574196667		>10min	69441	0.729682869932539				
luvit	11070		0sec	337	0.03044263775971093		30sec	362	0.03270099367660343		1min	194	0.01752484191508582		5min	1057	0.095483288166215		10min	624	0.056368563685636856		>10min	8477	0.7657633242999097				
tengine	17141		0sec	0		30sec	33	0.0019252085642611284		1min	21	0.0012251327227116272		5min	697	0.04066273846333353		10min	260	0.015168309900239192		>10min	16130	0.9410186103494546				
ettercap	23703		0sec	614	0.025903894021853772		30sec	549	0.023161625110745477		1min	764	0.03223220689364215		5min	1584	0.06682698392608531		10min	812	0.03425726701261444		>10min	19325	0.8152976416487364				
cjdns	143969		0sec	7101	0.04932311817127298		30sec	8668	0.06020740576096243		1min	10879	0.07556487855024345		5min	11218	0.07791955212580486		10min	9474	0.06580583320020282		>10min	96557	0.6706791045294473				
JohnTheRipper	438275		0sec	14344	0.03272830985112087		30sec	35595	0.08121613142433404		1min	25429	0.05802064913581655		5min	49531	0.11301351890936057		10min	29398	0.06707660715304319		>10min	283555	0.6469796360732417				
ossec-hids	69983		0sec	1225	0.017504251032393583		30sec	938	0.013403255076232799		1min	1686	0.024091565094380065		5min	5454	0.0779332123515711		10min	3510	0.0501550376520012		>10min	56918	0.8133118042953289				
genometools	189820		0sec	15540	0.08186703192498156		30sec	6405	0.03374249288799916		1min	4337	0.022847961226425035		5min	18820	0.09914655989885154		10min	10892	0.05738067643030239		>10min	131320	0.6918132968075018				
rt-thread	218144		0sec	126	0.0005776001173536747		30sec	6072	0.02783482470294851		1min	3209	0.014710466480856681		5min	15848	0.07264925920492886		10min	5881	0.026959256271086987		>10min	186796	0.8562967581047382				
