cocos2d-x	2877728		0sec	8740	0.003037118171001568		30sec	105349	0.036608393844032514		1min	95290	0.03311292797651481		5min	482307	0.16759992605277496		10min	340267	0.11824154332862592		>10min	1833509	0.6371377002969009				
Baystation12	6876097		0sec	2801	0.000407353183063008		30sec	271443	0.03947631919677689		1min	190118	0.027649115479319156		5min	748944	0.10891992943089662		10min	513346	0.074656596612875		>10min	5147245	0.7485707371492869				
ppsspp	2915934		0sec	5378	0.0018443490147582215		30sec	189442	0.06496786278427427		1min	257470	0.08829760893079198		5min	611613	0.20974857455621423		10min	230312	0.07898395505522415		>10min	1616185	0.5542598014907059				
bitcoin	490493		0sec	33594	0.0684902740711896		30sec	10361	0.021123644985759225		1min	9111	0.018575188636738956		5min	28714	0.05854110048461446		10min	24546	0.05004352763444127		>10min	382197	0.7792098969812006				
shogun	270365		0sec	5865	0.021692896639727774		30sec	4108	0.01519427440682041		1min	5310	0.019640116139293177		5min	19007	0.07030125940857729		10min	21160	0.07826456826882178		>10min	214482	0.7933053464760601				
livecode	21567889		0sec	23657	0.0010968620990213739		30sec	779289	0.03613190887620017		1min	780338	0.03618054599594796		5min	3693779	0.17126288993790723		10min	2936122	0.13613395358256897		>10min	13338666	0.6184502340493314				
MuseScore	173337		0sec	5857	0.03378966983390736		30sec	3998	0.023064896704108183		1min	3345	0.01929766870316205		5min	14294	0.0824636401922267		10min	7334	0.0423106434286967		>10min	136176	0.7856141504698939				
hhvm	394334		0sec	39318	0.09970735467902844		30sec	76581	0.19420339103399656		1min	6557	0.016628036131807047		5min	7323	0.018570551867198873		10min	1501	0.0038064179096907696		>10min	210624	0.534125893278287				
pokemon-online	416231		0sec	519	0.0012469037625741474		30sec	9003	0.02162981613575154		1min	10916	0.026225821719189586		5min	36358	0.0873505337180556		10min	8527	0.02048622039204192		>10min	350837	0.8428901259156574				
pdns	156328		0sec	4157	0.026591525510465175		30sec	3740	0.023924057110690344		1min	3262	0.020866383501356122		5min	14575	0.09323345785783736		10min	7421	0.047470702625249474		>10min	122798	0.7855150708766184				
libzmq	42656		0sec	854	0.020020630157539385		30sec	842	0.019739309827456863		1min	1065	0.024967179294823706		5min	3643	0.08540416354088522		10min	3457	0.08104369842460615		>10min	32723	0.7671370967741935				
lmms	273549		0sec	720	0.002632069574372416		30sec	9275	0.033906174030977995		1min	9611	0.035134473165685125		5min	31382	0.11472167692077105		10min	18057	0.06601011153394822		>10min	204351	0.7470361799896911				
caffe	57131		0sec	2354	0.04120354973657034		30sec	1674	0.029301079974094625		1min	1539	0.02693808965360312		5min	3288	0.0575519420279708		10min	2587	0.045281895993418635		>10min	45513	0.7966428033817017				
phantomjs	97549		0sec	16162	0.16568083732278138		30sec	3949	0.04048221919240587		1min	216	0.0022142718018636786		5min	18391	0.1885308921670135		10min	431	0.004418292345385396		>10min	58208	0.5967052455688936				
rippled	3954723		0sec	2154734	0.5448508024455821		30sec	186269	0.0471003911019811		1min	59490	0.015042772907230165		5min	149718	0.03785802444317845		10min	66541	0.016825704354009118		>10min	923135	0.23342595676106773				
qreal	1292692		0sec	1538	0.001189765234100621		30sec	14893	0.011520919136190215		1min	15607	0.012073254882060073		5min	81109	0.06274425771954958		10min	84206	0.065140033356747		>10min	1094457	0.8466494725735133				
rpcs3	101345		0sec	917	0.009048300360155904		30sec	2969	0.02929596921407075		1min	579	0.005713158024569539		5min	6408	0.06322956238590952		10min	8032	0.0792540332527505		>10min	80048	0.7898564310030095				
ninja	6746		0sec	204	0.03024014230655203		30sec	171	0.025348354580492144		1min	116	0.017195375037058997		5min	753	0.1116217017491847		10min	464	0.06878150014823599		>10min	4989	0.7395493625852357				
