spark	386593		0sec	1338	0.003461004208560424		30sec	4688	0.012126448228498706		1min	5840	0.015106326291474497		5min	35532	0.09191061400490956		10min	25624	0.0662815933035518		>10min	313338	0.8105113129311705				
scala	5919919		0sec	4773	0.0008062610316120879		30sec	104030	0.01757287557481783		1min	140706	0.0237682306126148		5min	538595	0.09098012996461607		10min	295240	0.0498723039960513		>10min	4834980	0.8167307694581631				
scalding	61927		0sec	182	0.0029389442407996512		30sec	898	0.014500944660648829		1min	739	0.011933405461268913		5min	3965	0.0640269995317067		10min	2999	0.04842798779207777		>10min	53124	0.8578487574079158				
sbt	484638		0sec	157276	0.3245226333882197		30sec	16163	0.03335066585781552		1min	11976	0.02471122776175207		5min	36195	0.07468460995629728		10min	18058	0.037260800845166905		>10min	238110	0.4913151671969594				
scala-js	99763		0sec	1583	0.015867606226757414		30sec	1159	0.011617533554524223		1min	1240	0.012429457815021602		5min	3894	0.0390325070416888		10min	5655	0.05668434189027996		>10min	85876	0.8608000962280605				
scalaz	55952		0sec	796	0.01422647983986274		30sec	2455	0.0438768944809837		1min	1232	0.02201887331998856		5min	4589	0.08201672862453531		10min	3167	0.05660208750357449		>10min	43611	0.7794359450957964				
geotrellis	18464		0sec	1580	0.08557192374350087		30sec	383	0.020743067590987867		1min	120	0.006499133448873483		5min	289	0.01565207972270364		10min	708	0.038344887348353555		>10min	15319	0.8296685441941074				
marathon	62059		0sec	1292	0.02081889814531333		30sec	662	0.01066726824473485		1min	1176	0.018949709147746498		5min	4046	0.0651960231392707		10min	3754	0.06049082324884384		>10min	50913	0.8203967192510353				
geomesa	24356		0sec	85	0.0034898998193463623		30sec	3126	0.12834619806207917		1min	1397	0.0573575299720808		5min	1148	0.04713417638364263		10min	1187	0.048735424536048615		>10min	17336	0.7117753325669239				
spray	51900		0sec	1573	0.030308285163776493		30sec	1126	0.021695568400770714		1min	568	0.01094412331406551		5min	4116	0.07930635838150289		10min	3480	0.06705202312138728		>10min	40826	0.7866281310211946				
scalatest	53562		0sec	1719	0.03209364848213286		30sec	361	0.0067398528807736825		1min	463	0.00864418804376237		5min	2478	0.04626414248907808		10min	1670	0.031178820805795152		>10min	46545	0.8689929427579254				
summingbird	12359		0sec	43	0.0034792458936807186		30sec	354	0.028643094101464518		1min	457	0.03697710170725787		5min	1212	0.09806618658467514		10min	861	0.06966583056881624		>10min	9430	0.7630067157537017				
adam	10567		0sec	1106	0.10466546796631021		30sec	234	0.02214441184820668		1min	140	0.01324879341345699		5min	344	0.032554178101637174		10min	469	0.04438345793508091		>10min	8172	0.7733509983912179				
slick	36539		0sec	422	0.011549303483948658		30sec	642	0.017570267385533266		1min	749	0.020498645283122143		5min	2414	0.06606639481102383		10min	1313	0.035934207285366324		>10min	30930	0.846492788527327				
framework	218553		0sec	113	0.0005170370573728112		30sec	618	0.002827689393419445		1min	5798	0.026529034147323532		5min	13142	0.060131867327375965		10min	12350	0.056508032376586		>10min	186532	0.8534863396979222				
zipkin	24695		0sec	268	0.010852399271107512		30sec	3531	0.14298440979955457		1min	338	0.013686981170277383		5min	1200	0.04859283255719781		10min	289	0.011702773840858473		>10min	19062	0.7718971451710873				
shark	14549		0sec	143	0.00982885421678466		30sec	256	0.017595711045432675		1min	237	0.01628977936627947		5min	1111	0.07636263660732696		10min	707	0.04859440511375352		>10min	12088	0.8308474809265242				
sbt-native-packager	8039		0sec	84	0.01044906082846125		30sec	141	0.01753949496205996		1min	222	0.027615375046647593		5min	317	0.0394327652693121		10min	301	0.03744246796865282		>10min	6973	0.867396442343575				
sbt-remote-control	6801		0sec	723	0.10630789589766211		30sec	169	0.024849286869578		1min	329	0.04837523893545067		5min	900	0.13233348037053375		10min	231	0.03396559329510366		>10min	4427	0.6509336862226143				
algebird	7187		0sec	33	0.004591623765131487		30sec	105	0.014609711979963823		1min	77	0.010713788785306804		5min	634	0.08821483233616252		10min	377	0.05245582301377487		>10min	5955	0.8285793794350912				
